video_id,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4,action,lemma,lemma_id
6110761249,1802,640,480,how did the boy carry the baby off the car,3,7,CH,the dog helped,an adult helped,use their hands,grab baby s body,with a stroller,grab,grab,86
7004267908,849,640,360,why is the green shirt woman pressing something in front of her while the pink shirt woman scoop thing,1,1,CW,acting,mash the food,show thr room,turn on the television,turn on the light,pressing,press,116
4442957886,834,640,480,how did the lady observe if the baby is liking the way of eating the bread as she eats with him,4,8,CH,pick up using fingers,use the knife,point to the bowl,hold the bread,look at baby while eating,look,look,28
8698896692,1056,272,480,how do the children react after seeing the lady come out of the kitchen,3,3,TN,goes into tent,play with dogs,continue eating,very happy,mixing ingredients together in bowl,seeing,see,28
6825044676,768,640,480,why did the black singlet woman and grey shirt man wear hats,3,2,CW,learning,listening attentively,holding the console,sunny,safety,wear,wear,5
5165840822,1320,640,424,how did the baby react after the person shook the toys hanging above the baby in the middle,2,2,TN,drop it,happy,look at them,jiggle,relaxing,shook,shake,140
2451862413,2642,500,375,what did the guy in brown do after both ladies knocked the car,1,1,TN,driving off,knock the car,cross the street,adjusting car,jump,knocked,knock,37
10717276603,2028,640,360,what did the boy do after walking to the bells near the end,2,2,TN,pick up the present,sit on the couch,look under the bells,puts it on the table,walk towards the stair,walking,walk,159
3487539480,967,640,480,why do the boys hold a basket each,3,3,CW,ask for food,put fruits,prevent clothes from being wet,store eggs,carry their dirty clothes,hold,hold,4
4028034957,512,640,480,why is the baby laughing,2,8,CW,having fun,man is making baby laugh,saw the toy,enjoying popsicle,enjoying the water,laughing,laugh,121
5912348323,803,320,240,what does the man in dark blue do after pushing the man in white,0,10,TN,goes away,watch the man in white sings,sway his body,run back to position,takes out a camera,pushing,push,151
10111267264,1451,640,360,why does the shorter boy in orange stop playing towards the end,1,2,CW,not as proficient,finished,get closer to the other man,give toy away,saw ball go different direction,playing,play,141
6139961286,1034,640,360,what does the lady in front do after looking out of the window,3,8,TN,smiles and waves hand,play with straw in her mouth,stick out her tongue,pull the cover down,wipe her face,looking,look,28
10289713176,468,640,360,why are there other people standing around the boy,1,10,CW,play game,watch him,having a conversation,facing the camera,dancing with the baby,standing,stand,158
3107947442,2328,320,240,how does the lady get the baby s attention in the middle of the video,4,8,CH,bend down to see,with support of the toy,using hand gesture,playing with cutlery,open her arms,open,open,139
6296684125,732,640,360,why did the person in black carry a child in green hold onto a plate of food,1,6,CW,portion his food,eat,prevent mess,girl was throwing food at floor,to feed bird,carry,carry,145
7512011714,1554,640,480,why did the lady look behind her halfway through when she was cycling,1,1,CW,to be on same pace,check to see her companion,push bike forward,balance,end of safe path,look,look,28
5502438239,1428,640,360,how do the dogs hold the toy,0,4,CH,bite,dance,shaking his head,make dog jump,wear collars,bite,bite,114
6673828083,2087,640,480,why is the person holding a phone in front of the dog while it is ripping the present,4,4,CW,move them away,knock the other one down,protect his food,eating the meat,taking a photograph,holding,hold,4
4599618003,2194,640,480,what does the lady do after the boy fall over,3,11,TN,kick the ball,hold the baby,push herself forward,kneel down,laugh,fall,fall,127
6521889201,1084,640,360,what does the lady do after the man stands up,0,9,TN,stand behind child,raise her hand,pass the stick to the boy,clap her hand,swerve to the left,stands,stand,158
13517963285,3548,640,480,how are the men gathered at the table,1,6,CH,in a row,sitting,on the floor,speaking in the microphone,serious,sitting,sit,78
4389577717,1241,640,480,why did the man in red bend his legs in the middle of the video,3,9,CW,check on his friend,avoid getting hit,pick up the stick,part of performance,he was pushed,bend,bend,156
4316096248,2118,480,640,what did the bride do after receiving the napkins and fork,4,3,TN,feed again,she drinks it,grab and eat it,points at the cereal,feed the man,receiving,receive,93
3098368505,2694,640,480,why is the boy sitting on the man s lap,1,1,CW,reading book,santa claus giving out presents,eating on the table,lean on the man,child can see cake,sitting,sit,78
5356516473,2022,640,480,why does the girl approach the santa claus at the end of the video,4,7,CW,receive gifts,take out wrapping,pick up something on ground,to take photo,kiss his cheeks,approach,approach,148
3250003096,1010,640,480,what did the child do with the diapers after removing it from the doll,0,6,TN,prevent sofa from getting dirty,pick back up,put it down,look at the doll,put on the box,removing,remove,129
8429686679,1574,640,360,why did the woman bend down after she entered the water,2,5,CW,washing her feet,drink,swim,talk to girl at same height,try to get her into water,bend,bend,156
3388614426,1263,640,480,why did the lady stretch her hand forward towards the man after she wiped her tears,1,3,CW,check if it s blocked,hold his hand,want to blow out candles,clean her mouth,prevent her from coming,stretch,stretch,92
8230812947,2697,640,360,what did the birds do after standing still and looking around in the beginning,0,1,TN,start walking around,tightened grip,run forward,bit him,continue eating,standing,stand,158
6064511468,1146,640,360,what does the dog do at the end after playing with the man,3,5,TN,jump around,carry dog up,stop at the camera,walk away,give treats,playing,play,141
8787162041,2325,640,360,why is the baby dancing around in the middle of the video,3,4,CW,fell cold,playing,can not walk,excited,to feel safe,dancing,dance,120
6576808811,1125,640,360,why does everyone kneel down,0,0,CW,playing game,look at the bucket,careful of the rocks,watching cartoon,part of performance,kneel,kneel,110
7122827809,924,640,1138,why does not the man wearing blue pay any attention to the man wearing colorful costume,0,3,CW,uninterested,sunny outside,playing,wait to perform next,expressive,wearing,wear,5
3721832045,1411,320,240,how did the lady try to get the bird to drink water,0,7,CH,hold up cup,hold her hands,dipping beak in,wave her hands around,squat,hold,hold,4
4343935954,1675,640,480,why is the girl in pink climbing the ladder at the back in the middle of the video,2,5,CW,to get down the step,play with baby,wants to play slide too,dancing,more comfortable position,climbing,climb,131
2776980258,1631,500,375,how does the man in black shirt clean the bullets on the floor at the end,4,6,CH,both hands,pick up bag,wipe with tissue,put mic facing audience,sweep them,sweep,sweep,39
7368921690,918,640,360,why are babies swinging their hands,0,3,CW,baby are excited and playing,angry,play,learning to swim,starting a fight,swinging,swing,136
4085549820,2250,640,512,what does the driver of the white vehicle do after driving pass the black car at the start of the video,4,4,TN,singing away from the microphone,dive into water,hit man in black s back,pick something up,he reverses and stops,driving,drive,89
5323579442,1370,640,480,what does the boy do after walking away at the start,0,4,TN,comes back,stand up,sit on the floor,slings his bag across his shoulder,fell down,walking,walk,159
4967363921,1525,640,480,why did the lady in blue drink some water before continuing to eat her food,0,9,CW,thirsty,easier to see,to keep the water bottle,to pour out liquid,she is dozing off,drink,drink,113
4379169063,742,640,480,why did the lady opened her eyes and made faces in the middle of the video,2,7,CW,observing the toy,pick up towel,posing in the camera,to get down,look at audience,opened,open,139
3098429260,1816,640,480,why did the lady shift the baby in white in the middle of the video,2,5,CW,balancing the item,performance s act,baby in white wanted to rest,let baby play,pick something up,shift,shift,81
3049423208,400,500,375,what did the two women in black do after climbing the stairs,4,4,TN,raise both hands,blowing,stands up,run around stage,look at entrance,climbing,climb,131
3295715150,312,320,240,what did the man do after he turned backwards,2,7,TN,feed baby,take more food,points at the door,lift his strumming hand,adjust the white woman getting dressed,turned,turn,157
3055012236,1527,500,375,how does the lady get the black pouch from the man wearing black cap,1,2,CH,snatch,pretend to buy it,point to the table,use his hands,hand gestures,pretend,pretend,22
7211479772,466,640,360,why are the children wear gloves,2,5,CW,painting,playing balls,playing in snow,prevent being dirty,woods,wear,wear,5
5124781697,1013,640,360,what does the baby do after chewing on the first piece of food,4,10,TN,lick and suck fingers,moving back and forth,takes them out,reach hand out,ask for another,chewing,chew,63
9494885165,765,640,362,why is the person in blue lying on the sand,3,4,CW,playng with kids,chating with lady,hug dog,enjoying the view,pose,lying,lie,57
2433780333,780,496,370,why is the man in stripes wearing a glove on his left hand,3,3,CW,catch the ball,protect hands from friction,to protect himself,greater accuracy,for grip,wearing,wear,5
12422945153,622,568,320,why does the baby in grey raises his hand after rocking up and down the chair,1,1,CW,put her hand on spatula,to point at something,block man,try pull baby to sit up,wants hug,raises,raise,137
13974254491,545,640,360,why does the man in beret hold a microphone,0,0,CW,singing,protect eyes,practice shooting,dancing based on the song playing,fashion,hold,hold,4
2594144360,1091,640,480,what does the woman in sandals do after the dog approaches the bubbles,2,10,TN,run with it,push dog away,blow bubbles at dog,walk away,place paw on her palm,approaches,approach,148
2765617638,797,640,480,what does the man do after showing the pancake,1,6,TN,pick up paper,tears it and eats the pancake,eat soup,chew,bring over to the playset,showing,show,12
10186675055,461,640,1138,what did the girl do after she rode the scooter to the wall at the end of the video,0,5,TN,get off scooter,go to the adult,look at ground,lift the club up,direct baby away,rode,ride,79
5271223888,901,640,360,why is everyone in the group wearing a hat,1,1,CW,performing,cold,part of the attire,stay together,hiking together,wearing,wear,5
2738131533,1989,640,480,why is the lady crying towards the end of the show,2,3,CW,because no one is near her,playing with baby,upset,finished reading,hug man,crying,cry,65
4346954399,790,640,480,how does the man interact with the board in front of him,1,6,CH,use microphone,presses the buttons,moving animation,pull it,stand behind the baby,presses,press,116
2406339050,2380,500,375,what did the baby do before she put the green long toy in her mouth at the middle of the video,4,5,TP,look at ground,look upwards,extended their hands,laugh,put it on the walker,put,put,160
4809420567,889,640,480,what did the baby do before touching the pink toy at the end of the video,4,6,TP,hit the air,grab lady s hair,talk and eat lollipop,take photos,lift head up,touching,touch,154
2467532859,611,640,428,why do the men keep their hands below later in the video,2,3,CW,pushing the rod,to pick up something,try to lift the girl up,to get up,he reached the shore,keep,keep,149
4795305639,2697,640,480,why did the man with red life vest hold the pole on the boat near the end of the video,0,10,CW,stabilize himself,fishing,to help his friend,push boy,going to bump into tree,hold,hold,4
4580824633,972,640,456,what does the lady do after kissing the dog at the end,3,3,TN,hold baby s hand,gives them food,moves around,put dog back,walks back to the start,kissing,kiss,122
5290786898,2693,640,360,what did the man do after he showed two fingers near the middle of the video,4,5,TN,walked out of video,write on book,kick his legs,shake hands,raise up two more figers,showed,show,12
5309902755,2052,640,480,why is the girl in black moving her left hand constanrtly,3,9,CW,carrying the baby,reading book,help girl stir,playing violin,holding on to a straw,moving,move,161
8013531249,502,640,360,how does the boy in yellow react after the boy in blue approaches the structure at the end,3,11,TN,grabbing his shirt,watch the kids,go to the ledge,holds the structure,waves hand,approaches,approach,148
8291700390,489,640,360,what does the lady in dark green do after picking up a doll at the start,1,6,TN,look at the paper,put inbox,put bucket back,covers baby legs,take off the hat,picking,pick,152
10192494165,700,640,360,what was the girl doing before she lifted the book to her face,4,5,TP,stop and look,spin in circles,close it,show the shoes,open a pen,lifted,lift,137
4452848541,840,640,480,why did the man in stripes raised his hand in the middle of the video,3,5,CW,immitate girl to play,balance,using his phone,gesture towards camera,gesturing in his speech,raised,raise,137
5119093874,322,640,360,why is the boy bending down at the beginning of the video,2,0,CW,look at something,pick up the bicycle,holding a hen,to walk further,pick up slippers,bending,bend,156
6548136131,1367,640,360,why does the boy in blue touch the wall while climbing over the board,0,9,CW,stabilise to prevent from falling,use the ladder on wall,glove stuck,follow the man,wiping the wall,touch,touch,154
9578365556,740,640,360,what did the white dog do after the black dog ran away,4,3,TN,sniff the remaining piece,run away,chase,pick the rolling ball up,scare him,ran,run,155
7350473698,2697,640,360,why was the man and lady passing the microphones to each other,1,7,CW,singing,taking turns to speak,playing a game,trying to change batteries ,following instructions on screen,passing,pass,138
3105754589,1413,640,480,what does the man do after lifting the dog onto the bed,0,3,TN,walk away,lie on it,lying,raise his arm,lie on the bed,lifting,lift,137
7877082996,363,640,360,why did the man moved upwards after he fell down,3,4,CW,change posture to support baby,blocked by pumpkin,snow blocking him,pushed by water,moving the cardboard backwards,moved,move,161
4009018967,926,640,360,why do the girls hold each other hands,4,2,CW,in case she falls,spin around,having fun,support baby,dancing pose,hold,hold,4
5318938983,425,640,362,how does the dog react after the woman points her finger,3,7,TN,turn his head,try to lick her face,run away,looks at the direction,hold the dog down,points,point,147
13693908355,717,640,360,why does the man stand up higher halfway through the video,0,8,CW,better filming the scene,heat up red tube,talking to friend,to check the water level,talk to cameraman,stand,stand,158
5561006511,530,640,360,what did the baby do after he put his hand into the water near the end of the video,0,5,TN,splashing himself,sits,turn back,extend his hand,bite his finger,put,put,160
8052306711,2697,480,360,why is the old man holding the handles while walking,2,1,CW,dancing,finished controlling the helicopter,for support,to kick ball,talk to man behind,holding,hold,4
6953995558,1080,640,480,why does the man put down his flute after playing for a while at the start,4,1,TN,to pick up a phone call,to smoke,smoke,to kiss,to talk,playing,play,141
8490530210,1955,640,360,what does the dog do after the cat sits up,2,5,TN,play with toy,climbing over it,stare at cat,looked at camera,walked away,sits,sit,78
4507436121,2154,640,428,what did the boy do after he jumped multiple times,4,5,TN,eat food,stand still,grab the back a chair,cycle,run around,jumped,jump,153
7350473698,2697,640,360,why did the interview move the microphone stand towards the man while he was talking on stage,0,3,CW,his turn to speak,for him to clean,end of performance,pose,for him to change batteries,move,move,161
6214663036,692,640,360,why are the womans hands moving,2,5,CW,dancing with the baby,push the rake,hand gesture,speaking,dancing,moving,move,161
4257050287,937,640,480,why did the man shake the toys on his hands together when the baby hit the drums with the sticks,1,4,CW,congratulate him,moving with the rhythm,let the red toy hit,wants to play,teaching the kid,shake,shake,140
4308410480,2692,640,480,why did the boy in black wear a mask,1,0,CW,laughing,playing attire,it s sunny,breathe underwater,protect from sun,wear,wear,5
6591879935,1783,640,480,why did the man remove his left hand from the guitar when one of the children wanted to cross over,4,6,CW,feeling the music,strumming the guitar,checking on other members,moving to the beat,make space for boy,remove,remove,129
7891454958,2589,604,1072,why did the man in black suit walk towards the man in checkered shirt,1,2,CW,adjust shades,to give a hug,grab some food,grab money,get off from motorcycle,walk,walk,159
2469019658,2190,320,240,what did the girl in grey and black do after showing the new shirt to the camera,3,7,TN,excited,takes her tongue out,looked at it,put it down,stand still,showing,show,12
3962924320,1363,480,360,why is the man touching the baby under her armpits,4,1,CW,playing with the baby,tickle him,clap his hands,play piano,lift it up,touching,touch,154
4247712487,2016,640,360,why does the blonde woman hold some papers while talking to the man,3,2,CW,agree with what she said,getting too excited,expressive,talking notes,for referencing,hold,hold,4
9740013012,496,512,384,why did the man look so serious,4,3,CW,important meeting,watching boy play,waiting in bar,snow hard to move,he is in deep thoughts,look,look,28
4754310333,1301,640,480,why did the black and white dog turn around to face the white dog in the middle of the video,2,7,CW,playing with each other,enjoy the ball,snatch the toy,to get the food,lick its paws,turn,turn,157
4304101430,2497,640,360,why did the black jacket man touch his nose after the white shirt woman bend down,2,2,CW,praise her,to stroke it,push up sunglasses,laughing,no space to come up,touch,touch,154
8595715210,981,640,360,why are they holding on to the long rope and going downwards for,3,3,CW,take a rest,hiking,to suspend in air,expedition,to see if they are reaching the shores,holding,hold,4
6972903978,1516,640,360,why did the woman in black keep looking at the woman in pink talking,1,1,CW,noticing the office,listening to her talk,talking to them,expressive,conversing,looking,look,28
3272428851,2197,640,480,why did the man in black lean to his right after everyone laugh,0,3,CW,laugh too hard lose balance,watch the man untie the toy,he saw the camera filming him,present,observing the reaction,laugh,laugh,121
4381879247,1035,640,480,why does the girl hold on to the wooden beam while hitting the drum,2,7,CW,play with it,playing the violin,balance,dancing while playing,suggest girl to hold it,hold,hold,4
5384066179,1546,640,1138,what did the toddler do after falling,3,7,TN,wait for man to carry,roll on floor,raise right arm,get back up,crying,falling,fall,127
6145965959,856,640,360,why is the lady in pink lying on the sofa,0,3,CW,watching television,play fighting,to fight with dog,angle when being licked,getting ready to shower,lying,lie,57
6440423935,339,568,320,why did the boy tilt his head backwards in the middle of the video,1,9,CW,chocking,excited,loooking at ceiling,immitate girl to play,to cry,tilt,tilt,98
2504943867,2161,640,362,how did the boy feel after the woman carry him in her arms,3,2,TN,carry her up,pick up camera,take the soap,comforted,touch the baby s stomach,carry,carry,145
3148635011,1300,640,480,what does the boy do after standing up from the chair in the middle,0,7,TN,open the book,walks forward,touch shoulders,drink,dance,standing,stand,158
10637506985,892,480,360,what does the man in white do after moving away from the wall,3,5,TN,filming,cross them,jumps,paint different area,put hand up to hi-five,moving,move,161
4638616409,1324,480,360,how did the person get the cat onto the couch,3,5,CH,combs the cat,jumps out,hugged by man,move toy onto couch,chase the tail of the toy,move,move,161
3278928198,1207,640,480,how did the baby react after he saw the book at the end of the video,1,11,TN,look at the camera,want to hold it,does nt feels good,pick baby up,kiss baby,saw,saw,28
2867108011,876,640,480,why do the boys stretch out their hands,2,8,CW,show affection,resting,to play the game,santa claus giving out presents,illustrate what he is mimicking,stretch,stretch,92
2410320893,1047,640,480,how did the baby in white respond when the boys ran out of the door,1,5,CH,sliding,follow them,laugh at them,hold her hand,shake arms vigorously,follow,follow,71
6416652333,312,640,360,why does the boy in grey hold both side of the board while going down the slope,1,2,CW,to balance himself,safety,to throw the slide,unable to continue climbing,to walk properly on the slope,hold,hold,4
3110922783,1566,640,480,how are the lions rested in the video,3,0,CH,lying on its stomach on bed,use paws to hold,lie on man s lap,lying on the floor,sit on the sofa,lying,lie,57
11574237096,1080,640,360,why does the lady in red jacket waves her hand in the end,0,5,CW,signal finish line,to catch other girls,intrigues with the architecture,ask the boy to follow,playing drums,waves,wave,53
3476615901,789,640,480,why does the person hold the bulb of the plant in his palm,0,1,CW,show the camera,Remove more seeds,Leaves not special,pass to his friend,throw the plant,hold,hold,4
3107947442,2328,320,240,how did the baby get support when he tries to stand up without falling,0,3,CH,hold onto table,pulled by boy,raise both arms forward,cloth behind him keeping him upright,keep an eye on them,hold,hold,4
10676920593,3374,640,480,how is the man supporting the baby from falling in the start of the video,3,0,CH,with his fingers behind the girl,hold onto bench,holds the pram,holding the baby,kiss,holding,hold,4
5659032762,1382,480,640,why does the man holding microphone looked down for a while at the end,0,2,CW,see speech draft,reach out to the woman,reading from script,look at the moving swing,in agreement,holding,hold,4
9720878454,1342,512,288,what does the baby do after the adult pass it the balloon,0,7,TN,lets go of balloon,stand up,touch the balloon,grab the handle,put it back in mouth,pass,pass,138
8691070916,1468,640,360,why did the man wear a microphone on his collar,3,7,CW,singing,chating,strumming,give presentation,playing the guitar,wear,wear,5
4165086042,2566,640,480,why are the children staring at the ground,0,7,CW,playing with the leaves,support himself,scoop the snow,searching food,crawling around,staring,star,94
2540971638,896,500,375,why are the people sitting around the table,2,0,CW,playing cards,gathering for food,enjoying some wine and talk,playing their instruments,dinner,sitting,sit,78
2591438838,1442,500,375,why did the man in beige wear a cap indoors,0,1,CW,goes well with his attire,talking about something,just came home,funeral,to keep his hair tidy,wear,wear,5
13197492975,1395,640,360,what does the girl do after turning over at the start,3,2,TN,jumps up,hand gesture,point at statue,pat dog s head,dancing,turning,turn,157
4040727856,2182,640,360,why did the people point to the sensing device at the same time after a few tests with the robot,1,4,CW,distracted,point out where to adjust,pick up the toy,play with it,play with child,point,point,147
4039930746,1095,640,480,why did the horse carry such a huge load on its back,1,2,CW,for safety,the people s belongings,more stable,cold,huge snowfall,carry,carry,145
6391532457,607,640,360,why did the boy hold on tightly to the toy,4,3,CW,for safety,carrying her,playing the piano,wave the horse,push toy,hold,hold,4
6011624858,1744,640,362,why did the old man touch the dog s face at the start,3,0,CW,let it roam,help dog brus teeth,get to the other side,caress,wipe dirt off dog eye,touch,touch,154
5503778096,658,640,480,what did the boy in stripped do after he sat up,1,9,TN,roll around,comes closer to hold the baby,close door,look towards the right,touch the water,sat,sit,78
6435588567,1304,640,360,what did the lady in blue do after the nurse passed her the baby,0,6,TN,holds the baby,put her hand up,squat down,does hand gesture,light the candle,passed,pass,138
11585784946,1380,640,360,why is the lady in grey running with the puppy,4,0,CW,judge,play with him,guide the dog,to play with him,guiding,running,run,155
4523714689,1123,360,480,why is the man lifting his arms above his head,4,0,CW,amplify his voice,wear protective pads,reading from script,to help lady climb,to hold the baby,lifting,lift,137
7181477329,1080,640,360,what does the man in white do after putting down his microphone,1,8,TN,turn around,bend down and shake his head,kneel down,strum the guitar,clicks the picture,putting,put,160
3298468604,856,640,480,what does the person in long pants do after approaching the clothes rack near the end,3,8,TN,put on shoes,carry cake,look to the right,hangs the clothes,a wing,approaching,approach,148
6392843945,1320,640,360,why did the lady turned to the front a few times as she played her instrument,3,6,CW,enjoying the music,in tune with the music,get audience attention,check music sheet,distracted by audience,turned,turn,157
11647012384,1038,640,360,why did the boy touch the man s jacket hoodie,1,3,CW,perform play work,want to take it off,protect from sun,child play with water,prevent boy from falling,touch,touch,154
